4,12,1929,332,46,10,84,136,149,391,218,327,238,750,341,484,298,217,3,119,155,81,144,233,344,5,8,66,40
18,123,2328,490,56,13,399,252,306,577,256,548,362,971,793,641,1605,481,4,224,222,139,154,355,385,17,35,128,47
78,166,1596,462,125,31,902,335,381,588,289,424,489,907,496,693,760,288,11,182,232,249,155,275,281,42,83,111,93
102,272,2863,1006,116,119,725,415,605,1075,684,735,786,1155,1226,1061,1699,605,32,616,447,346,307,727,620,36,185,177,154
160,148,2474,763,212,170,585,370,509,840,658,744,538,1349,939,791,3833,642,177,555,354,300,299,567,772,23,389,271,153
84,58,1636,344,49,18,219,187,185,410,447,389,311,911,340,483,1564,231,45,112,148,125,103,208,402,20,34,167,74
22,4,1307,252,33,11,121,80,109,251,522,355,182,776,247,388,2442,128,36,137,105,58,86,111,325,15,9,102,43
3,2,959,203,29,9,177,96,106,229,448,391,160,540,189,416,1111,202,17,152,106,53,62,91,231,7,11,90,33
28,8,787,182,21,5,765,414,322,404,456,359,131,516,670,411,404,97,12,186,304,92,146,76,170,6,2,62,28
60,68,968,233,24,12,362,366,239,412,242,268,222,720,512,453,239,48,21,86,204,112,94,131,177,5,3,74,33
57,40,1346,337,44,17,86,154,134,319,199,331,248,758,313,457,201,43,15,107,167,105,98,224,296,4,10,85,58
28,36,1756,481,63,22,16,105,97,313,230,388,286,831,170,463,242,52,19,129,132,105,248,282,444,8,11,148,56
34,48,2204,797,81,14,20,129,92,377,163,381,351,1062,134,483,227,64,15,130,135,134,303,382,620,26,43,216,72
347,154,2838,1149,101,26,56,158,124,442,233,457,444,1493,238,494,225,74,15,168,121,155,170,1144,856,62,116,256,89
1290,178,2752,908,240,39,108,235,197,598,370,439,620,1661,366,643,362,79,20,194,213,186,337,2172,739,51,107,287,178
180,41,2018,629,134,8,62,141,160,436,248,401,416,1311,262,658,319,84,23,134,126,193,135,455,456,8,35,168,104
110,34,2166,565,167,13,55,119,162,458,302,566,364,1426,382,697,1197,94,53,164,127,186,284,350,425,7,18,173,73
173,10,1557,394,95,11,114,87,159,487,489,453,242,1061,258,680,2801,133,28,71,87,181,326,192,421,3,22,128,27
34,3,1363,332,62,13,24,58,115,322,554,375,192,835,232,538,2245,126,19,96,55,139,122,139,326,22,37,116,7
25,3,1099,247,49,6,14,31,66,236,352,342,130,686,222,440,1281,111,18,58,43,132,89,101,229,58,29,84,7
